Date,Open,High,Low,Close,Volume,Adj Close
2017-03-29,234.990005,235.809998,234.729996,235.539993,53156500,235.539993
2017-03-28,233.270004,235.809998,233.139999,235.320007,86120900,235.320007
2017-03-27,231.929993,233.919998,231.610001,233.619995,87454500,233.619995
2017-03-24,234.380005,235.039993,232.960007,233.860001,112504900,233.860001
2017-03-23,234.279999,235.339996,233.600006,234.029999,100410300,234.029999
2017-03-22,233.770004,234.610001,233.050003,234.279999,97569200,234.279999
2017-03-21,237.470001,237.610001,233.580002,233.729996,131809300,233.729996
2017-03-20,237.029999,237.360001,236.320007,236.770004,52537000,236.770004
2017-03-17,237.75,237.970001,237.029999,237.029999,89002100,237.029999
2017-03-16,239.110001,239.199997,238.100006,238.479996,78344000,237.446998
2017-03-15,237.559998,239.440002,237.289993,238.949997,96081800,237.914964
2017-03-14,237.179993,237.240005,236.190002,236.899994,59880800,235.873841
2017-03-13,237.619995,237.860001,237.240005,237.809998,57256800,236.779902
2017-03-10,237.970001,238.020004,236.589996,237.690002,81991700,236.660427
2017-03-09,236.699997,237.240005,235.740005,236.860001,90683900,235.83402
2017-03-08,237.339996,237.639999,236.399994,236.559998,78168800,235.535317
2017-03-07,237.360001,237.770004,236.759995,237.00,65103700,235.973413
2017-03-06,237.50,238.119995,237.009995,237.710007,55391500,236.680345
2017-03-03,238.169998,238.610001,237.729996,238.419998,81974300,237.387261
2017-03-02,239.559998,239.570007,238.210007,238.270004,70246000,237.237917
